content,clean_content,score,label,predicted_sentiment,platform
Platform pembelian yang baik,platform beli baik,5.0,Positif,Positif,Shopee
saya suka dengan toko pedia,suka toko dia,3.0,Netral,Netral,Tokopedia
"Baru pertama kali download dan bisa make traktiran pengguna baru dengan Rp.0, makasih tokped",baru pertama kali download bisa make traktir guna baru rp terima kasih tokped,5.0,Positif,Positif,Tokopedia
bagus,bagus,4.0,Positif,Positif,Tokopedia
No kmt,no kmt,3.0,Netral,Netral,Tokopedia
"Bagaimana ini jasa pengiriman semakin ngga jelas kadang paket saya salah alamat tujuan , kadang tercantum paket sudah tiba di alamat tujuan tapi orang rumah tidak ada yg merasa menerima ,kadang tertulis nama penerima saya padahal saya tidak menerima, makin lama banget lebih dari 4 hari",bagaimana jasa kirim makin jelas kadang paket salah alamat tuju kadang cantum paket tiba alamat tuju orang rumah ada rasa terima kadang tulis nama terima padahal tidak terima makin lama banget lebih hari,4.0,Positif,Positif,Shopee
baikkk,baikkk,4.0,Positif,Positif,Tokopedia
Smga tidak lambat pengiriman nya,smga lambat kirim nya,1.0,Negatif,Negatif,Tokopedia
Shopee ku knp yah gak bisa cod,shopee ku knp yah bisa bayar tempat,3.0,Netral,Netral,Shopee
"Kenapa pesanan makanan saya diubah kurirnya,padahal klo pakai yg biasa pasti tepat waktu...mending bayar ongkir daripada manfaatin gratis ongkir tp kiriman muter2 dikota asal seler,kasihan selernya juga yg pembayaran jadi terganggu Krn barangnya TDK segera sampai",pesan makan ubah kurir padahal kalau pakai biasa tepat waktu mending bayar ongkos kirim manfaatin gratis ongkos kirim kirim muter kota asal seler kasihan selernya yang bayar jadi ganggu barang segera,2.0,Negatif,Negatif,Tokopedia
aneh banget shopee. gak pernah telat bayar tagihan tapi akun paylater dibatasi,aneh banget shopee pernah telat bayar tagih akun paylater batas,3.0,Netral,Netral,Shopee
Alhamdulillah 1.Pihak shopee Tanggung Jawab Pihak shopee harus tanggung jawab karena tidak semua barang itu ori dan tidak semua penjual jujur,alhamdulillah pihak shopee tanggung jawab pihak shopee tanggung jawab tidak semua barang ori tidak semua jual jujur,5.0,Positif,Positif,Shopee
"good shopee belanja murah, aman, banyak pilihan produk.",good shopee belanja murah aman banyak pilih produk,5.0,Positif,Positif,Shopee
"Expedisi spx sangat2 lelet pake reguler aja semingguan lamanya aduh gak ad peningkatan sama sekali selama pke jasa ini🥴, mana lelet bgt aplikasi nya penuh dgn konten ga jelas iklannya sangat menggangu gak di YouTube di Facebook di aplikasi nya tv iklan dya mulu yg muncul. Spam bgt iklan mu shopee",expedisi spx sangat lelet pake reguler minggu lama aduh ad tingkat sama sekali lama pke jasa mana lelet banget aplikasi nya penuh konten jelas iklan sangat menggangu youtube facebook di aplikasi nya tv iklan dya mulu muncul spam banget iklan mu shopee,2.0,Negatif,Negatif,Shopee
"Baguss bgttt, produk di sini murah muraahh, aplagi klo 11.11,atau 12.12 promonya itu lohhh 😎😎🔫 ada gratis ongkir jugaa, gk nyesel download nyaa",baguss bgttt produk sini murah muraahh aplagi kalau promonya lohhh gratis ongkos kirim jugaa nyesel download nyaa,5.0,Positif,Positif,Shopee
